pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0723,1.3291,0.0351,stand,0.0000,6.3600,0.0000,nan,nan,0.2033,0.0444,0.3376
1.4558,4.8992,1.4468,path,4.3837,6.3600,0.0000,1.4558,0.0024,1.8635,1.1679,1.5791
0.3357,14.7651,0.0409,combined,1.5832,6.3800,0.3356,-0.3356,0.0099,0.6027,0.2873,1.4568
0.7349,62.0341,0.2109,path,3.0949,6.3800,0.0287,0.0294,0.7344,1.8499,0.8721,1.5332
0.3742,1.9489,0.1331,turn,0.0000,6.3800,0.0000,nan,nan,0.4032,0.1610,1.2818
0.4109,15.5536,0.0435,lateral,1.4344,6.4000,0.4105,-0.4008,0.0907,0.4914,0.1995,0.8780
0.8710,11.1621,1.3778,path,7.0726,6.4200,0.0000,-0.7738,0.3998,1.7064,1.2753,1.5612
1.3335,70.1261,0.4379,path,7.2836,6.4400,0.0000,1.2886,0.3429,1.8845,1.3582,1.5146
0.8576,54.9456,0.9751,path,3.3813,6.4400,0.0097,-0.8436,0.1544,1.4039,0.8226,1.3584
1.1287,1.9802,1.6749,path,2.5914,6.4600,0.0262,0.5440,0.9889,1.7645,1.1005,1.2309
0.2492,10.4350,0.4188,path,4.0368,6.4800,0.0094,0.1414,0.2052,1.1667,0.6591,0.6270
1.1055,19.6024,1.4211,path,0.7342,6.5000,0.0282,-1.0600,0.3137,1.4247,0.7065,1.4273
0.4947,3.7854,0.1314,combined,0.7372,6.5000,0.3571,0.3883,0.3065,1.0816,0.3022,0.6568
0.3814,6.7866,0.5544,path,3.1847,6.5200,0.0063,-0.0186,0.3809,0.7975,0.5072,0.4894
0.4787,9.3067,0.5307,path,3.2585,6.5400,0.0108,0.2303,0.4196,1.2292,0.5539,0.5029
0.7402,9.7122,1.3694,path,5.0143,6.5400,0.0265,-0.2438,0.6989,1.6634,1.1913,1.3267
0.1961,11.6258,0.2179,path,4.3324,6.5600,0.0000,0.1603,0.1131,1.5747,0.8459,0.8052
0.3488,2.0119,0.0313,straight,1.0324,6.5600,0.3382,-0.3488,0.0036,0.3538,0.1495,0.9105
0.2646,7.9854,1.2276,path,5.6348,6.5800,0.0000,-0.2081,0.1633,1.5929,1.0024,1.0165
0.4311,0.0014,0.0254,lateral,0.5049,6.5800,0.4157,-0.0721,0.4251,0.3730,0.1353,1.4775
0.4384,3.7958,0.7122,path,1.0400,6.6000,0.0125,-0.3481,0.2665,1.4965,0.7336,0.6486
0.5559,15.4680,0.0561,combined,1.6896,6.6000,0.5559,-0.0190,0.5555,1.3906,0.4234,0.9272
0.4114,4.8651,0.0604,lateral,0.9950,6.6200,0.4078,-0.3463,0.2220,0.4861,0.1360,0.7318
0.3175,5.4941,1.0859,path,3.7168,6.6200,0.0148,0.2195,0.2293,1.3950,0.6600,0.5936
0.7873,4.9840,1.4034,path,0.2387,6.6400,0.0237,0.0377,0.7864,1.5186,0.8171,1.1474
0.4779,9.6045,0.0419,straight,0.0819,6.6600,0.0467,-0.4247,0.2191,0.3069,0.1127,0.4882
0.0696,3.3585,0.0433,stand,0.0000,6.6600,0.0000,nan,nan,0.1795,0.0397,0.9391
0.1052,2.5374,0.0282,stand,0.0000,6.7200,0.0000,nan,nan,0.1690,0.0416,1.2824
0.3201,2.7257,0.0609,turn,0.0000,6.7400,0.0000,nan,nan,0.5973,0.1228,0.0000
0.9864,9.0421,1.1781,path,2.4804,6.7400,0.0293,0.8592,0.4845,1.6638,0.9295,1.5566
0.3473,2.8765,0.1085,combined,0.8587,6.7600,0.3473,-0.3274,0.1157,0.9019,0.2247,0.9177
0.6884,3.6439,0.9573,path,5.8831,6.7600,0.0198,-0.6746,0.1374,1.3342,0.8707,1.0148
0.6885,1.9903,0.7846,path,1.2304,6.7800,0.0000,-0.6824,0.0914,1.1762,0.6211,1.0979
0.9556,0.8622,0.6628,path,0.8816,6.8000,0.0000,-0.1069,0.9497,1.1165,0.5235,1.0657
0.6076,8.6552,0.2198,combined,1.9363,6.8400,0.4059,0.3564,0.4921,1.5960,0.5147,0.6693
1.5358,1.4994,0.3853,path,1.2471,6.8400,0.0000,-1.3667,0.7007,1.2404,0.7173,1.5756
0.5306,2.9381,0.0724,straight,1.0820,6.8400,0.5171,-0.5223,0.0935,0.4158,0.1321,1.1243
0.4439,6.0671,0.1648,path,0.9382,6.8600,0.0000,-0.4402,0.0571,1.2430,0.5888,0.8337
0.1922,1.4039,0.1216,combined,1.4139,6.8600,0.1914,0.0207,0.1911,0.7684,0.3151,0.6831
0.4071,8.5841,0.0402,lateral,0.9070,6.8600,0.4010,-0.2343,0.3329,0.4608,0.1388,0.4197
0.5906,10.0481,0.9478,path,4.1170,6.8600,0.0165,0.2029,0.5546,1.2866,0.6927,0.6546
0.2622,12.1531,0.5067,path,1.4660,6.8600,0.0000,0.2621,0.0067,1.0613,0.6572,0.5488
0.5080,6.3922,0.6236,path,5.0244,6.8800,0.0158,-0.5078,0.0150,1.3750,0.8358,0.8946
0.2187,5.6921,0.1676,path,2.6073,6.8800,0.0307,0.2177,0.0207,1.6051,0.6934,1.3356
0.4446,12.9161,0.0488,lateral,1.2120,6.9000,0.4334,-0.3290,0.2991,0.4066,0.1627,0.4108
0.7344,4.1745,0.7898,path,4.2215,6.9400,0.0000,-0.6115,0.4068,1.2384,0.7551,0.9868
0.9986,6.3393,1.4618,path,1.7161,6.9800,0.0168,0.9807,0.1885,1.6581,0.8769,0.8871
0.3335,5.1890,0.6368,path,2.4318,7.0000,0.0000,0.0716,0.3257,1.3873,0.5682,0.4910
0.3448,11.6602,0.0586,combined,0.5230,7.0000,0.3433,-0.0213,0.3441,0.5548,0.1402,0.4714
0.2339,0.8126,0.0505,lateral,0.1437,7.0200,0.1437,0.0806,0.2196,0.2454,0.0885,0.5148
1.2156,1.2707,1.0330,path,4.9065,7.0400,0.0273,-1.0617,0.5919,1.1347,0.7375,1.0820
0.3241,2.3922,0.0221,lateral,1.3931,7.0400,0.3103,-0.0819,0.3136,0.5385,0.2023,1.5844
0.3711,5.3401,0.0686,straight,1.7854,7.0600,0.3706,-0.3627,0.0785,0.6409,0.2347,0.6282
1.4660,141.9427,1.4185,path,6.3186,7.0600,0.0000,-0.9215,1.1402,1.7243,1.1918,1.5663
0.3804,1.8928,0.0775,combined,0.7449,7.0800,0.3789,-0.2926,0.2432,0.4393,0.1301,1.5345
1.3423,33.6977,1.0053,path,6.1437,7.0800,0.0000,-1.0720,0.8080,1.7754,1.2646,1.5360
0.2798,1.7130,0.1117,straight,1.6636,7.1200,0.2776,-0.2700,0.0736,0.5633,0.2299,1.4495
0.2960,4.0176,0.0940,turn,0.0000,7.1200,0.0000,nan,nan,0.3524,0.1084,1.1064
0.5041,0.5859,0.0429,combined,1.7196,7.1200,0.2951,0.4501,0.2271,1.6361,0.4372,0.8898
0.8140,2.2976,0.5275,path,1.9285,7.1400,0.0281,0.7515,0.3130,1.7209,1.0622,1.4910
0.7397,6.6287,1.2191,path,6.5234,7.1800,0.0000,-0.6673,0.3190,1.7472,1.1365,1.2865
0.9558,55.4728,0.1189,path,5.6787,7.2000,0.0626,0.3438,0.8918,1.5203,0.8875,0.9922
0.4349,6.6015,0.0450,combined,1.8320,7.2000,0.4349,0.3121,0.3028,1.6486,0.5062,1.2680
0.3101,7.1161,0.0456,lateral,0.9310,7.2400,0.3089,-0.1567,0.2676,0.4004,0.1419,1.1516
0.4689,2.1425,0.0253,straight,1.0109,7.2400,0.4555,-0.4535,0.1192,0.4685,0.1418,1.4465
0.3283,4.9561,0.0266,straight,1.0913,7.2400,0.3237,-0.3264,0.0353,0.4070,0.1594,0.7867
0.3177,3.7976,0.0578,combined,1.9307,7.2800,0.3177,-0.1945,0.2512,0.9427,0.2850,1.2703
0.8378,4.0554,0.6354,path,2.6784,7.2800,0.0125,-0.6293,0.5531,1.0548,0.4571,0.6711
0.2250,2.2907,0.5890,path,2.3542,7.3000,0.0000,-0.0692,0.2141,0.8686,0.5049,0.5993
0.4558,3.2399,0.0244,combined,2.1724,7.3200,0.4533,-0.4070,0.2052,0.6785,0.2565,0.6470
0.2088,0.5906,0.5461,path,2.3206,7.3200,0.0059,-0.0521,0.2022,0.7808,0.3797,0.3842
0.4882,0.6950,0.0570,lateral,1.3206,7.3200,0.4846,-0.1187,0.4735,0.4957,0.1959,0.5660
0.1112,1.3843,0.0239,stand,0.0000,7.3200,0.0000,nan,nan,0.1971,0.0422,0.9885
0.5845,7.7498,0.0339,turn,0.0000,7.3400,0.0000,nan,nan,0.5813,0.1314,0.9383
0.4192,10.9921,1.0100,path,3.0670,7.3400,0.0204,-0.3267,0.2627,1.4201,0.9153,1.0706
1.5768,19.0053,1.3760,path,0.3011,7.3600,0.0291,-1.5743,0.0887,1.6285,0.8246,1.5654
0.5449,2.1557,0.1342,turn,0.0000,7.3600,0.0000,nan,nan,0.8064,0.1293,1.1500
1.1952,15.2155,1.2285,path,4.3087,7.3600,0.0246,-0.0324,1.1948,1.8378,1.2417,1.2050
0.6103,7.8736,0.1912,combined,2.1248,7.3600,0.6103,-0.2455,0.5587,1.2516,0.3713,0.8713
0.3372,4.9877,0.0394,lateral,1.0803,7.3800,0.3258,-0.0712,0.3296,0.4990,0.1754,0.9236
0.6536,17.6330,0.2030,path,4.8109,7.4200,0.0129,-0.6495,0.0737,1.1277,0.6083,0.7889
0.2909,0.1818,0.2647,path,2.5779,7.4200,0.0068,-0.0536,0.2859,0.6183,0.3479,0.3499
0.3708,14.2654,0.1880,path,2.8444,7.4400,0.0122,-0.0961,0.3581,1.3386,0.6165,0.8111
0.3265,2.9847,0.2297,combined,2.1360,7.4400,0.3265,-0.2856,0.1582,0.7071,0.2691,0.9458
0.6325,8.8383,0.1580,combined,2.0562,7.4600,0.6325,-0.6211,0.1199,0.6701,0.2613,1.1787
1.0363,1.4849,0.7747,path,1.3645,7.4800,0.0266,-0.7912,0.6693,1.0649,0.6588,1.2345
0.2757,1.0413,0.0436,lateral,0.1854,7.5600,0.1465,-0.0263,0.2744,0.2933,0.1079,0.4688
0.0514,1.5795,0.0296,stand,0.0000,7.5800,0.0000,nan,nan,0.1439,0.0294,1.4906
