pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.1332,3.9235,0.1460,straight,0.6590,6.6200,0.1302,0.0222,0.1313
0.0732,1.2411,0.1362,combined,1.4740,6.6400,0.0582,-0.0631,0.0370
0.1135,1.5325,0.1601,lateral,0.0159,6.6600,0.0140,-0.0745,0.0856
0.0524,1.4461,0.1683,straight,0.3055,6.6800,0.0200,0.0188,0.0489
0.1165,1.5460,0.1219,lateral,1.3688,6.7400,0.1022,-0.0584,0.1008
0.1356,3.2107,0.0335,lateral,0.8684,6.7400,0.1234,-0.1316,0.0324
0.0651,0.2882,0.0447,turn,0.0000,6.7400,0.0000,nan,nan
0.0468,2.8313,0.1757,lateral,0.2424,6.7400,0.0329,0.0310,0.0351
0.1352,1.9480,0.2329,combined,0.7989,6.7600,0.1251,-0.0537,0.1240
0.1229,2.0953,0.1409,turn,0.0000,6.7800,0.0000,nan,nan
0.0871,0.7954,0.0761,lateral,1.1270,6.8000,0.0408,0.0505,0.0709
0.1285,9.9584,0.0368,stand,0.0000,6.8000,0.0000,nan,nan
0.0693,2.5429,0.1119,lateral,1.4576,6.8200,0.0342,0.0528,0.0448
0.0115,2.9999,0.0588,straight,0.3782,6.8200,0.0069,-0.0046,0.0105
0.0887,1.4307,0.1943,straight,1.4414,6.8600,0.0097,-0.0468,0.0753
0.0067,2.8140,0.0438,stand,0.0000,6.8600,0.0000,nan,nan
0.1786,3.9045,0.0596,straight,0.3712,6.8600,0.0512,-0.1519,0.0938
0.2296,4.2675,0.0462,turn,0.0000,6.9000,0.0000,nan,nan
0.1074,0.7347,0.0877,turn,0.0000,6.9000,0.0000,nan,nan
0.0382,0.4719,0.0076,stand,0.0000,6.9000,0.0000,nan,nan
0.1297,0.8007,0.0492,straight,1.0249,6.9400,0.0933,-0.0444,0.1219
0.0643,0.2576,0.0592,turn,0.0000,6.9600,0.0000,nan,nan
0.1633,0.3669,0.0152,straight,1.8244,6.9800,0.0047,0.0967,0.1315
0.2092,0.8929,0.0223,straight,0.3896,6.9800,0.0898,-0.2090,0.0093
0.0893,0.4540,0.0183,stand,0.0000,6.9800,0.0000,nan,nan
0.0825,0.2551,0.0574,turn,0.0000,7.0200,0.0000,nan,nan
0.0073,0.5675,0.0758,combined,0.5910,7.0200,0.0011,-0.0055,0.0047
0.1088,3.4527,0.0995,turn,0.0000,7.0400,0.0000,nan,nan
0.0560,0.1278,0.0708,straight,1.8259,7.0400,0.0237,0.0537,0.0159
0.0897,1.2394,0.0766,straight,0.4493,7.0600,0.0751,-0.0461,0.0769
0.0701,2.2376,0.0596,combined,1.1181,7.0600,0.0698,0.0280,0.0642
0.1322,2.4982,0.0630,combined,1.1445,7.1000,0.0271,0.1285,0.0311
0.1820,4.3524,0.1970,straight,1.4458,7.1000,0.1600,0.0972,0.1538
0.0939,1.8546,0.0604,straight,1.6518,7.1200,0.0021,0.0415,0.0843
0.0770,1.8263,0.0172,turn,0.0000,7.1200,0.0000,nan,nan
0.1459,2.4891,0.0666,combined,0.4771,7.1200,0.1285,-0.1271,0.0717
0.0618,7.9842,0.0454,stand,0.0000,7.1600,0.0000,nan,nan
0.1686,1.8353,0.2271,turn,0.0000,7.1600,0.0000,nan,nan
0.1422,0.7362,0.0261,combined,0.2478,7.1600,0.1339,-0.1415,0.0140
0.0347,1.8308,0.0532,combined,2.3946,7.1800,0.0340,-0.0297,0.0179
0.0711,1.5452,0.1158,combined,1.5748,7.2000,0.0558,-0.0398,0.0589
0.0918,0.1035,0.0740,combined,0.6406,7.2200,0.0804,-0.0909,0.0129
0.0802,0.1577,0.1806,combined,1.9684,7.2200,0.0365,0.0801,0.0033
0.1140,2.3098,0.0755,straight,1.4075,7.2400,0.0965,-0.0333,0.1090
0.1589,0.3374,0.2051,turn,0.0000,7.2400,0.0000,nan,nan
0.1549,2.7860,0.1849,combined,1.3707,7.2400,0.1367,0.0370,0.1504
0.0914,1.5932,0.0349,combined,1.7547,7.2600,0.0746,-0.0756,0.0515
0.0548,0.2967,0.0393,lateral,0.8396,7.3200,0.0489,-0.0316,0.0448
0.0462,3.8546,0.0583,straight,1.3331,7.3400,0.0270,0.0267,0.0377
0.0178,1.1130,0.1205,turn,0.0000,7.3600,0.0000,nan,nan
0.1118,1.4354,0.0863,combined,2.2542,7.3800,0.0817,-0.0918,0.0638
0.0543,1.3757,0.1686,combined,2.3916,7.4000,0.0381,-0.0206,0.0502
0.1818,7.6731,0.0241,stand,0.0000,7.4200,0.0000,nan,nan
0.0518,2.9525,0.0176,stand,0.0000,7.4200,0.0000,nan,nan
0.1256,1.5929,0.0946,combined,1.9067,7.4200,0.1239,-0.0894,0.0882
0.0223,2.1175,0.1764,combined,1.6835,7.4400,0.0001,0.0217,0.0052
0.1665,1.5068,0.2130,turn,0.0000,7.4400,0.0000,nan,nan
0.0529,2.8584,0.0380,combined,0.5045,7.4400,0.0020,-0.0116,0.0516
0.1156,0.6206,0.0398,turn,0.0000,7.4400,0.0000,nan,nan
0.0386,0.7915,0.0440,straight,1.4742,7.4600,0.0313,0.0007,0.0386
0.1374,0.7937,0.1627,straight,0.1789,7.4600,0.0170,0.0133,0.1367
0.0107,2.1832,0.1275,combined,1.7037,7.4600,0.0046,-0.0076,0.0075
0.0899,0.0507,0.1822,turn,0.0000,7.4600,0.0000,nan,nan
0.0428,1.5493,0.1512,combined,0.4917,7.4800,0.0302,-0.0065,0.0423
0.0889,0.8748,0.0373,turn,0.0000,7.5400,0.0000,nan,nan
0.0430,0.4159,0.0822,turn,0.0000,7.5400,0.0000,nan,nan
0.0564,1.6842,0.0156,stand,0.0000,7.5600,0.0000,nan,nan
0.2099,1.6354,0.2527,straight,1.8612,7.5800,0.1332,0.0666,0.1990
0.1183,0.9450,0.0915,straight,1.5194,7.6000,0.1057,-0.1155,0.0254
0.0412,6.5182,0.0176,stand,0.0000,7.6400,0.0000,nan,nan
0.1108,2.0627,0.0126,combined,1.8066,7.6400,0.0421,0.0973,0.0530
0.0748,2.1079,0.1115,straight,1.0003,7.6600,0.0661,-0.0438,0.0607
0.1873,2.7142,0.1578,straight,1.8310,7.7400,0.1730,-0.1374,0.1273
0.1315,6.0455,0.0592,stand,0.0000,7.7400,0.0000,nan,nan
0.0502,0.5649,0.0962,lateral,1.4896,7.7400,0.0321,-0.0306,0.0397
0.1984,9.0469,0.0434,stand,0.0000,7.7800,0.0000,nan,nan
0.1207,4.2510,0.0349,lateral,0.7466,7.8200,0.0968,-0.0183,0.1193
0.0403,1.7788,0.1134,lateral,0.3270,7.8200,0.0215,0.0309,0.0259
0.0505,3.8574,0.1129,combined,1.3797,7.8400,0.0383,0.0234,0.0447
0.0407,3.4270,0.0340,straight,1.1149,7.8800,0.0159,0.0083,0.0398
0.1689,1.2772,0.0228,turn,0.0000,7.9000,0.0000,nan,nan
0.0603,4.3588,0.0619,turn,0.0000,7.9400,0.0000,nan,nan
0.2156,1.0935,0.0366,combined,1.1866,7.9600,0.2037,-0.2057,0.0645
0.2481,0.8468,0.1707,lateral,0.1765,7.9600,0.0116,0.2091,0.1336
0.0805,1.8084,0.1093,straight,0.0252,7.9600,0.0045,-0.0195,0.0781
0.0689,1.3405,0.0610,combined,1.7762,7.9600,0.0618,0.0689,0.0027
0.1181,0.8824,0.0532,lateral,0.4218,7.9800,0.1127,-0.0202,0.1164
0.0344,4.1219,0.2268,straight,0.6686,6.3200,0.0292,-0.0342,0.0036
0.0973,2.7383,0.1453,lateral,1.3482,4.0000,0.0936,-0.0903,0.0363
0.0967,3.2348,0.0390,lateral,1.2539,4.2200,0.0916,-0.0055,0.0965
0.0455,1.7645,0.2191,turn,0.0000,7.7400,0.0000,nan,nan
0.2029,5.2293,0.0920,combined,1.3452,4.1600,0.2029,-0.1909,0.0689
0.0493,0.1122,0.0350,stand,0.0000,4.7400,0.0000,nan,nan
0.1381,2.3310,0.1644,turn,0.0000,4.3000,0.0000,nan,nan
0.1734,1.5575,0.1263,turn,0.0000,4.6400,0.0000,nan,nan
0.0473,1.5151,0.1739,combined,0.2167,4.9400,0.0318,0.0456,0.0123
0.1228,1.2459,0.1071,straight,1.5750,4.8600,0.1228,0.0287,0.1194
0.0250,0.7285,0.0655,combined,2.1402,4.2600,0.0235,-0.0157,0.0194
0.2179,1.7735,0.0428,combined,2.2628,4.2600,0.2179,-0.2156,0.0320
0.1120,2.7012,0.1879,turn,0.0000,4.0800,0.0000,nan,nan
0.0251,2.6215,0.2522,combined,1.3125,4.3600,0.0251,-0.0225,0.0111
0.0487,8.9404,0.1403,lateral,1.0975,4.3800,0.0419,-0.0486,0.0027
0.1280,4.2554,0.1711,turn,0.0000,4.0600,0.0000,nan,nan
0.1129,3.5062,0.0382,turn,0.0000,5.1000,0.0000,nan,nan
0.0602,0.1843,0.0182,stand,0.0000,4.6200,0.0000,nan,nan
0.0105,1.5577,0.0132,stand,0.0000,5.2400,0.0000,nan,nan
0.0953,0.2370,0.0715,combined,0.5992,5.3000,0.0910,-0.0479,0.0823
0.0774,3.5270,0.2110,combined,1.0579,4.1200,0.0722,-0.0483,0.0604
0.0757,2.5749,0.1280,straight,0.6912,4.5600,0.0341,0.0558,0.0511
0.0672,0.3916,0.0733,combined,1.9266,5.2400,0.0672,0.0333,0.0584
0.1204,2.0102,0.0137,combined,1.2852,4.3000,0.1204,-0.0499,0.1096
0.1751,4.7831,0.0147,straight,1.1269,4.2200,0.1742,-0.1406,0.1044
0.0846,0.6259,0.1123,combined,1.8555,4.3000,0.0846,-0.0735,0.0419
0.1178,1.7207,0.1878,combined,1.5671,5.3600,0.1111,-0.1178,0.0001
0.0697,4.3424,0.1581,lateral,0.1774,4.3600,0.0280,0.0554,0.0424
0.1526,2.2189,0.0897,lateral,0.4408,4.3800,0.1504,-0.1484,0.0356
0.0369,2.3934,0.2184,combined,2.0190,4.5600,0.0369,-0.0090,0.0357
0.0579,0.7456,0.1998,straight,0.7366,5.5200,0.0295,0.0108,0.0568
0.0683,3.4788,0.0769,combined,1.9690,4.6000,0.0569,-0.0255,0.0634
0.1548,0.6296,0.2049,turn,0.0000,5.3800,0.0000,nan,nan
0.1348,0.6003,0.1280,combined,2.2404,5.1600,0.1303,-0.1165,0.0677
0.0896,6.4896,0.0244,straight,1.5390,4.8400,0.0896,-0.0665,0.0600
0.0367,3.3066,0.0958,combined,1.2555,4.3800,0.0232,0.0239,0.0278
0.0683,0.0975,0.0238,stand,0.0000,4.0200,0.0000,nan,nan
0.0324,1.3817,0.0402,stand,0.0000,5.5000,0.0000,nan,nan
0.1968,5.3471,0.0199,turn,0.0000,5.4400,0.0000,nan,nan
0.1429,1.9463,0.1668,lateral,1.2820,5.6600,0.1000,0.0933,0.1083
0.1144,1.5701,0.0421,combined,2.0161,6.0600,0.0898,0.0142,0.1135
0.0786,1.4336,0.1049,turn,0.0000,5.2800,0.0000,nan,nan
0.1600,0.1133,0.1492,straight,1.8796,4.1200,0.1600,-0.0922,0.1307
