pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.1736,0.2703,0.0946,straight,1.3331,7.3400,0.1593,-0.0013,0.1736
0.0729,0.5191,0.1114,turn,0.0000,7.3600,0.0000,nan,nan
0.4048,3.5669,0.1888,combined,2.2542,7.3800,0.4048,-0.3740,0.1548
0.2466,0.3749,0.2384,combined,2.3916,7.4000,0.2466,-0.2080,0.1326
0.0757,14.0738,0.0124,stand,0.0000,7.4200,0.0000,nan,nan
0.1942,1.4313,0.2110,stand,0.0000,7.4200,0.0000,nan,nan
0.2695,3.7583,0.2906,combined,1.9067,7.4200,0.2658,-0.2580,0.0779
0.2410,9.6618,0.0827,combined,1.6835,7.4400,0.1676,0.1018,0.2185
0.3030,1.1251,0.1241,turn,0.0000,7.4400,0.0000,nan,nan
0.2363,2.2595,0.1350,combined,0.5045,7.4400,0.2359,-0.2233,0.0773
0.3487,1.6144,0.0357,turn,0.0000,7.4400,0.0000,nan,nan
0.3563,3.9856,0.1426,straight,1.4742,7.4600,0.3563,-0.3447,0.0900
0.2470,2.8766,0.0896,straight,0.1789,7.4600,0.1451,-0.2302,0.0897
0.1385,11.0341,0.0978,combined,1.7037,7.4600,0.1117,0.0946,0.1011
0.4997,4.3874,0.1555,turn,0.0000,7.4600,0.0000,nan,nan
0.1872,2.9102,0.0866,combined,0.4917,7.4800,0.0679,0.1152,0.1475
0.2164,9.9108,0.0942,turn,0.0000,7.5400,0.0000,nan,nan
0.1058,0.7541,0.0758,turn,0.0000,7.5400,0.0000,nan,nan
0.0140,3.7146,0.0843,stand,0.0000,7.5600,0.0000,nan,nan
0.3943,2.9851,0.1884,turn,0.0000,7.5600,0.0000,nan,nan
0.0692,4.5455,0.1565,straight,1.8612,7.5800,0.0515,0.0307,0.0620
0.2862,1.0271,0.2501,straight,1.5194,7.6000,0.2862,-0.2861,0.0100
0.0877,13.1911,0.0521,stand,0.0000,7.6400,0.0000,nan,nan
0.4352,7.9194,0.1098,combined,1.8066,7.6400,0.3880,0.1877,0.3927
0.1098,3.4891,0.0751,straight,1.0003,7.6600,0.1082,-0.0872,0.0667
0.2569,2.6357,0.1234,straight,1.8310,7.7400,0.2569,-0.2498,0.0599
0.1335,12.2086,0.0440,stand,0.0000,7.7400,0.0000,nan,nan
0.1411,0.3231,0.1594,lateral,1.4896,7.7400,0.1334,0.0326,0.1373
0.0276,2.9291,0.0506,stand,0.0000,7.7800,0.0000,nan,nan
0.4521,28.4022,0.2472,lateral,0.7466,7.8200,0.1992,0.3908,0.2274
0.3487,6.7421,0.0719,lateral,0.3270,7.8200,0.0095,0.2566,0.2361
0.4399,3.1750,0.1199,combined,1.3797,7.8400,0.4399,-0.4341,0.0708
0.4419,10.0383,0.0954,straight,1.1149,7.8800,0.4347,-0.3499,0.2700
0.3640,4.2024,0.1055,turn,0.0000,7.9000,0.0000,nan,nan
0.3761,7.3743,0.0457,turn,0.0000,7.9400,0.0000,nan,nan
0.2109,4.3904,0.1552,combined,1.1866,7.9600,0.2022,-0.1300,0.1661
0.3539,1.8672,0.1475,lateral,0.1765,7.9600,0.0549,0.0365,0.3520
0.1042,3.5343,0.1056,straight,0.0252,7.9600,0.0111,0.0957,0.0413
0.1588,2.8804,0.0429,combined,1.7762,7.9600,0.1588,-0.0115,0.1584
0.1087,0.8402,0.2088,lateral,0.4218,7.9800,0.0409,0.0974,0.0482
0.1791,5.5938,0.1984,lateral,0.1486,4.1200,0.1486,-0.1669,0.0650
0.3210,0.6751,0.1082,straight,0.8803,4.0800,0.3210,-0.3105,0.0813
0.1363,0.2032,0.0739,turn,0.0000,6.6600,0.0000,nan,nan
0.5203,5.1227,0.1407,lateral,0.9308,7.6800,0.5154,-0.4382,0.2805
0.4195,3.5064,0.0694,straight,0.8429,4.1800,0.4195,-0.3767,0.1845
0.0803,7.4479,0.0163,stand,0.0000,7.9600,0.0000,nan,nan
