t_s,L_Ankle_Roll_ser,L_Ankle_Roll_par,R_Ankle_Roll_ser,R_Ankle_Roll_par
2.03765,0.0126007,0.0852598,-0.0046306,0.0791562
2.03965,0.0126007,0.0852598,-0.0046306,0.0791562
2.04166,0.0126007,0.0852598,-0.0046306,0.0791562
2.04364,0.0126007,0.0852598,-0.0046306,0.0791562
2.04566,0.0126007,0.0852598,-0.0046306,0.0791562
2.04772,0.0126007,0.0852598,-0.0046306,0.0791562
2.04963,0.0126007,0.0852598,-0.0046306,0.0791562
2.05173,0.0126007,0.0852598,-0.0046306,0.0791562
2.05372,0.0126007,0.0852598,-0.0046306,0.0791562
2.05712,0.0126007,0.0852598,-0.0046306,0.0791562
2.05779,0.0126007,0.0852598,-0.0046306,0.0791562
2.05972,0.0126007,0.0852598,-0.0046306,0.0791562
2.06166,0.0126007,0.0852598,-0.0046306,0.0791562
2.0637,0.0126007,0.0852598,-0.0046306,0.0791562
2.06566,0.0126007,0.0852598,-0.0046306,0.0791562
2.06771,0.0126007,0.0852598,-0.0046306,0.0791562
2.06965,0.0126007,0.0852598,-0.0046306,0.0791562
2.07169,0.0126007,0.0852598,-0.0046306,0.0791562
2.07367,0.0126007,0.0852598,-0.0046306,0.0791562
2.07572,0.0126007,0.0852598,-0.0046306,0.0791562
2.07774,0.0126007,0.0852598,-0.0046306,0.0791562
2.07973,0.0126007,0.0852598,-0.0046306,0.0791562
2.08168,0.0126007,0.0852598,-0.0046306,0.0791562
2.08372,0.0126007,0.0852598,-0.0046306,0.0791562
2.08567,0.0126007,0.0852598,-0.0046306,0.0791562
2.08776,0.0126007,0.0852598,-0.0046306,0.0791562
2.09006,0.0122077,0.0852598,-0.0046306,0.0791562
2.09182,0.012208,0.0852598,-0.0046306,0.0791562
2.09372,0.012208,0.0852598,-0.0046306,0.0791562
2.09582,0.012208,0.0852598,-0.0046306,0.0791562
2.0978,0.012208,0.0852598,-0.0046306,0.0791562
2.09977,0.012208,0.0852598,-0.0046306,0.0791562
2.10175,0.012208,0.0852598,-0.0046306,0.0791562
2.10376,0.012208,0.0852598,-0.0046306,0.0791562
2.10577,0.012208,0.0852598,-0.0046306,0.0791562
2.10779,0.012208,0.0852598,-0.0046306,0.0791562
2.10974,0.012208,0.0852598,-0.0046306,0.0791562
2.11177,0.012208,0.0852598,-0.0046306,0.0791562
2.11378,0.012208,0.0852598,-0.0046306,0.0791562
2.11584,0.012208,0.0852598,-0.0046306,0.0791562
2.11776,0.012208,0.0852598,-0.0046306,0.0791562
2.1198,0.012208,0.0852598,-0.0046306,0.0791562
2.12179,0.012208,0.0852598,-0.0046306,0.0791562
2.12381,0.012208,0.0852598,-0.0046306,0.0791562
2.1258,0.012208,0.0852598,-0.0046306,0.0791562
2.12782,0.012208,0.0852598,-0.0046306,0.0791562
2.12981,0.012208,0.0852598,-0.0046306,0.0791562
2.1318,0.012208,0.0852598,-0.0046306,0.0791562
2.13386,0.012208,0.0852598,-0.0046306,0.0791562
2.1359,0.012208,0.0852598,-0.0046306,0.0791562
2.13787,0.012208,0.0852598,-0.0046306,0.0791562
2.13982,0.012208,0.0852598,-0.0046306,0.0791562
2.14178,0.012208,0.0852598,-0.0046306,0.0791562
2.14383,0.012208,0.0852598,-0.0046306,0.0791562
2.14586,0.012208,0.0852598,-0.0046306,0.0791562
2.14784,0.012208,0.0852598,-0.0046306,0.0791562
2.14982,0.012208,0.0852598,-0.0046306,0.0791562
2.15189,0.012208,0.0852598,-0.0046306,0.0791562
2.15392,0.012208,0.0852598,-0.0046306,0.0791562
2.15584,0.012208,0.0852598,-0.0046306,0.0791562
2.15795,0.012208,0.0852598,-0.0046306,0.0791562
2.15986,0.012208,0.0852598,-0.0046306,0.0791562
2.16188,0.012208,0.0852598,-0.0046306,0.0791562
2.16384,0.012208,0.0852598,-0.0046306,0.0791562
2.1658,0.012208,0.0852598,-0.0046306,0.0791562
2.16806,0.012208,0.0852598,-0.0046306,0.0791562
2.16989,0.012208,0.0852598,-0.0046306,0.0791562
2.17183,0.012208,0.0852598,-0.0046306,0.0791562
2.17386,0.012208,0.0852598,-0.0046306,0.0791562
2.1761,0.012208,0.0852598,-0.0046306,0.0791562
2.17789,0.012208,0.0852598,-0.0046306,0.0791562
2.17987,0.012208,0.0852598,-0.0046306,0.0791562
2.18184,0.012208,0.0852598,-0.0046306,0.0791562
2.18388,0.012208,0.0852598,-0.0046306,0.0791562
2.18589,0.012208,0.0852598,-0.0046306,0.0791562
2.18785,0.012208,0.0852598,-0.0046306,0.0791562
2.18987,0.012208,0.0852598,-0.0046306,0.0791562
2.19186,0.012208,0.0852598,-0.0046306,0.0791562
2.19391,0.012208,0.0852598,-0.0046306,0.0791562
2.19587,0.012208,0.0852598,-0.0046306,0.0791562
2.1979,0.012208,0.0852598,-0.0046306,0.0791562
2.19989,0.012208,0.0852598,-0.0046306,0.0791562
2.20191,0.012208,0.0852598,-0.0046306,0.0791562
2.20391,0.012208,0.0852598,-0.0046306,0.0791562
2.20587,0.012208,0.0852598,-0.0046306,0.0791562
2.20787,0.012208,0.0852598,-0.0046306,0.0791562
2.20995,0.012208,0.0852598,-0.0046306,0.0791562
2.21188,0.012208,0.0852598,-0.0046306,0.0791562
2.2139,0.012208,0.0852598,-0.0046306,0.0791562
2.21593,0.012208,0.0852598,-0.0046306,0.0791562
2.21802,0.012208,0.0852598,-0.0046306,0.0791562
2.21994,0.012208,0.0852598,-0.0046306,0.0791562
2.22189,0.012208,0.0852598,-0.0046306,0.0791562
2.22393,0.012208,0.0852598,-0.0046306,0.0791562
2.22597,0.012208,0.0852598,-0.0046306,0.0791562
2.22792,0.012208,0.0852598,-0.0046306,0.0791562
2.23,0.012208,0.0852598,-0.0046306,0.0791562
2.23198,0.012208,0.0852598,-0.0046306,0.0791562
2.23402,0.012208,0.0852598,-0.0046306,0.0791562
2.23594,0.012208,0.0852598,-0.0046306,0.0791562
2.23795,0.012208,0.0852598,-0.0046306,0.0791562
2.23993,0.012208,0.0852598,-0.0046306,0.0791562
2.24203,0.012208,0.0852598,-0.0046306,0.0791562
2.24393,0.012208,0.0852598,-0.0046306,0.0791562
2.24614,0.012208,0.0852598,-0.0046306,0.0791562
2.24801,0.012208,0.0852598,-0.0046306,0.0791562
2.24998,0.012208,0.0852598,-0.0046306,0.0791562
2.2521,0.012208,0.0852598,-0.0046306,0.0791562
2.25429,0.012208,0.0852598,-0.0046306,0.0791562
2.25602,0.012208,0.0852598,-0.0046306,0.0791562
2.2587,0.012208,0.0852598,-0.0046306,0.0791562
2.26,0.012208,0.0852598,-0.0046306,0.0791562
2.26203,0.012208,0.0852598,-0.0046306,0.0791562
2.26397,0.012208,0.0852598,-0.0046306,0.0791562
2.26605,0.012208,0.0852598,-0.0046306,0.0791562
2.26797,0.012208,0.0852598,-0.0046306,0.0791562
2.27004,0.012208,0.0852598,-0.0046306,0.0791562
2.27199,0.012208,0.0852598,-0.0046306,0.0791562
2.27403,0.012208,0.0852598,-0.0046306,0.0791562
2.27598,0.012208,0.0852598,-0.0046306,0.0791562
2.27808,0.012208,0.0852598,-0.0046306,0.0791562
2.28,0.012208,0.0852598,-0.0046306,0.0791562
2.28227,0.012208,0.0852598,-0.0046306,0.0791562
2.28435,0.012208,0.0852598,-0.0046306,0.0791562
2.28634,0.012208,0.0852598,-0.0046306,0.0791562
2.28823,0.012208,0.0852598,-0.0046306,0.0791562
2.29025,0.012208,0.0852598,-0.0046306,0.0791562
2.29202,0.012208,0.0852598,-0.0046306,0.0791562
2.29406,0.012208,0.0852598,-0.0046306,0.0791562
2.29607,0.012208,0.0852598,-0.0046306,0.0791562
2.29819,0.012208,0.0852598,-0.0046306,0.0791562
2.30004,0.012208,0.0852598,-0.0046306,0.0791562
2.30216,0.012208,0.0852598,-0.0046306,0.0791562
2.30403,0.012208,0.0852598,-0.0046306,0.0791562
2.30608,0.012208,0.0852598,-0.0046306,0.0791562
2.30804,0.012208,0.0852598,-0.0046306,0.0791562
2.31011,0.012208,0.0852598,-0.0046306,0.0791562
2.31204,0.012208,0.0852598,-0.0046306,0.0791562
2.31407,0.012208,0.0852598,-0.0046306,0.0791562
2.31606,0.012208,0.0852598,-0.0046306,0.0791562
2.31812,0.012208,0.0852598,-0.0046306,0.0791562
2.3201,0.0117825,0.0848783,-0.0046306,0.0791562
2.32209,0.0122081,0.0852598,-0.0046306,0.0791562
2.32405,0.012208,0.0852598,-0.0046306,0.0791562
2.32611,0.012208,0.0852598,-0.0046306,0.0791562
2.32807,0.012208,0.0852598,-0.0046306,0.0791562
2.33012,0.012208,0.0852598,-0.0046306,0.0791562
2.33209,0.012208,0.0852598,-0.0046306,0.0791562
2.33408,0.012208,0.0852598,-0.0046306,0.0791562
2.33608,0.0117825,0.0848783,-0.0046306,0.0791562
2.33821,0.0117824,0.0848783,-0.0046306,0.0791562
2.34017,0.0122081,0.0852598,-0.0046306,0.0791562
2.3433,0.012208,0.0852598,-0.0046306,0.0791562
2.34412,0.012208,0.0852598,-0.0046306,0.0791562
2.34615,0.012208,0.0852598,-0.0046306,0.0791562
2.34812,0.012208,0.0852598,-0.0046306,0.0791562
2.35021,0.012208,0.0852598,-0.0046306,0.0791562
2.35224,0.012208,0.0852598,-0.0046306,0.0791562
2.35413,0.012208,0.0852598,-0.0046306,0.0791562
2.35613,0.012208,0.0852598,-0.0046306,0.0791562
2.35825,0.012208,0.0852598,-0.0046306,0.0791562
2.36017,0.0117825,0.0848783,-0.0046306,0.0791562
2.36216,0.0122081,0.0852598,-0.0046306,0.0791562
2.36411,0.012208,0.0852598,-0.0046306,0.0791562
2.36615,0.012208,0.0852598,-0.0046306,0.0791562
2.36818,0.012208,0.0852598,-0.0046306,0.0791562
2.37021,0.012208,0.0852598,-0.0046306,0.0791562
2.37214,0.012208,0.0852598,-0.0046306,0.0791562
2.37425,0.0117825,0.0848783,-0.0046306,0.0791562
2.37616,0.0122081,0.0852598,-0.0046306,0.0791562
2.37828,0.0117825,0.0848783,-0.0046306,0.0791562
2.38053,0.0122081,0.0852598,-0.0046306,0.0791562
2.38239,0.012208,0.0852598,-0.0046306,0.0791562
2.38445,0.012208,0.0852598,-0.0046306,0.0791562
2.3866,0.012208,0.0852598,-0.0046306,0.0791562
2.38844,0.0117825,0.0848783,-0.0046306,0.0791562
2.39045,0.0122081,0.0852598,-0.0046306,0.0791562
2.39244,0.012208,0.0852598,-0.0046306,0.0791562
2.39446,0.012208,0.0852598,-0.0046306,0.0791562
2.39646,0.012208,0.0852598,-0.0046306,0.0791562
2.39847,0.0117825,0.0848783,-0.0046306,0.0791562
2.40042,0.0117824,0.0848783,-0.0046306,0.0791562
2.40246,0.0122081,0.0852598,-0.0046306,0.0791562
2.4045,0.012208,0.0852598,-0.0046306,0.0791562
2.40646,0.012208,0.0852598,-0.0046306,0.0791562
2.40843,0.012208,0.0852598,-0.0046306,0.0791562
2.41049,0.0117825,0.0848783,-0.0046306,0.0791562
2.41244,0.0117824,0.0848783,-0.0046306,0.0791562
2.41449,0.0122081,0.0852598,-0.0046306,0.0791562
