pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0287,5.1711,0.0294,turn,0.0000,6.2000,0.0000,nan,nan
0.0282,11.0966,0.0446,combined,1.1873,4.0000,0.0282,-0.0148,0.0240
0.0560,2.4279,0.0203,straight,0.0080,4.2800,0.0067,0.0246,0.0502
0.0261,6.6952,0.0080,turn,0.0000,4.2200,0.0000,nan,nan
0.0476,9.9574,0.0078,straight,1.8083,4.5000,0.0469,0.0159,0.0449
0.0336,5.5197,0.0084,turn,0.0000,5.7200,0.0000,nan,nan
0.0416,5.0011,0.0290,combined,1.2148,4.1600,0.0416,-0.0292,0.0296
0.0182,10.7181,0.0318,turn,0.0000,5.1200,0.0000,nan,nan
0.0383,5.1272,0.0834,combined,1.3289,5.7800,0.0157,0.0378,0.0058
0.0215,4.5920,0.0739,lateral,1.4389,6.2200,0.0177,0.0210,0.0046
0.0231,8.9023,0.0672,turn,0.0000,4.7200,0.0000,nan,nan
0.0656,0.5938,0.0317,lateral,1.1745,4.4600,0.0656,-0.0655,0.0048
0.0265,4.2571,0.0141,stand,0.0000,4.8600,0.0000,nan,nan
0.0324,10.5337,0.0122,combined,1.5551,4.3600,0.0318,-0.0230,0.0229
0.0220,1.5777,0.0106,combined,1.5915,4.4400,0.0220,-0.0209,0.0066
0.0298,13.8411,0.0199,lateral,0.8210,4.3800,0.0246,-0.0132,0.0267
0.0592,9.3727,0.0288,turn,0.0000,4.5200,0.0000,nan,nan
0.0330,12.3603,0.0402,straight,1.1629,6.2800,0.0295,-0.0330,0.0003
0.0587,7.6165,0.0040,combined,1.5919,4.9400,0.0587,-0.0451,0.0375
0.0489,12.1761,0.0204,turn,0.0000,6.5200,0.0000,nan,nan
0.0286,13.1954,0.0391,combined,1.5500,6.0600,0.0103,0.0149,0.0245
0.0138,0.7565,0.0197,stand,0.0000,4.8600,0.0000,nan,nan
0.0406,5.8855,0.0477,combined,1.1852,5.1400,0.0131,0.0245,0.0324
