pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0432,2.1066,0.1730,lateral,0.1254,4.2400,0.0285,-0.0186,0.0389
0.0412,0.0347,0.0185,combined,1.3881,7.7400,0.0311,-0.0169,0.0376
0.1306,1.5620,0.2371,combined,0.9477,4.0800,0.1159,-0.1289,0.0213
0.1029,2.1370,0.0286,turn,0.0000,4.5000,0.0000,nan,nan
0.0494,3.6836,0.3137,combined,0.8770,4.0800,0.0494,-0.0487,0.0081
0.1099,1.8553,0.0390,combined,1.6975,4.6400,0.0743,-0.0117,0.1093
0.1172,4.4366,0.1041,combined,1.2113,4.5400,0.1172,-0.0877,0.0778
0.1568,1.2703,0.0974,lateral,1.3987,4.0000,0.1568,-0.1289,0.0893
0.0384,1.1564,0.2503,turn,0.0000,4.0800,0.0000,nan,nan
0.1721,2.8181,0.0783,stand,0.0000,4.6800,0.0000,nan,nan
0.0314,1.9982,0.1792,turn,0.0000,4.2800,0.0000,nan,nan
0.0428,0.7732,0.0817,straight,1.7925,4.1600,0.0428,-0.0423,0.0068
0.0332,1.1439,0.1799,turn,0.0000,4.7000,0.0000,nan,nan
0.0470,2.3660,0.0035,combined,1.4250,4.9800,0.0468,-0.0453,0.0122
0.1000,0.8096,0.0937,lateral,0.3299,7.9600,0.0109,0.0465,0.0885
0.1341,0.8235,0.1399,combined,1.4225,4.5400,0.0685,0.1280,0.0398
0.0385,2.8788,0.0055,stand,0.0000,4.8000,0.0000,nan,nan
0.1085,0.2804,0.2115,turn,0.0000,4.4800,0.0000,nan,nan
0.0588,3.9882,0.2482,combined,1.4346,4.6000,0.0588,-0.0586,0.0054
0.0555,0.0359,0.1386,turn,0.0000,5.3400,0.0000,nan,nan
0.1186,5.8947,0.0892,lateral,0.5386,4.7800,0.0144,0.1150,0.0290
0.1085,0.1288,0.0304,combined,0.9219,4.7800,0.1062,0.0203,0.1066
0.1476,0.8022,0.0220,stand,0.0000,4.1200,0.0000,nan,nan
0.0657,2.8326,0.1703,combined,1.4771,5.1800,0.0285,-0.0623,0.0208
0.0982,3.6745,0.0283,lateral,0.8539,5.4000,0.0331,0.0868,0.0459
0.1394,4.2043,0.1610,straight,0.4420,5.4000,0.1346,-0.0675,0.1220
0.0620,1.0833,0.2750,combined,1.6338,4.7400,0.0620,-0.0347,0.0513
0.1294,0.7701,0.0848,straight,0.7736,4.7800,0.0759,-0.0301,0.1258
0.0154,2.2715,0.0328,lateral,1.2852,4.2400,0.0152,0.0036,0.0150
0.0329,2.3210,0.1553,lateral,0.4458,4.6200,0.0108,-0.0327,0.0042
0.1582,0.7474,0.0561,combined,0.9764,4.6200,0.1443,-0.1563,0.0242
0.1601,0.6470,0.1424,combined,0.7242,4.5600,0.1524,0.0904,0.1321
0.0867,1.1233,0.0808,straight,1.7278,4.1000,0.0867,-0.0844,0.0199
0.0803,1.2268,0.1320,turn,0.0000,4.2400,0.0000,nan,nan
0.0786,1.1805,0.1175,straight,1.6476,5.8400,0.0716,-0.0656,0.0434
0.0460,0.4972,0.1490,turn,0.0000,5.3600,0.0000,nan,nan
0.1498,3.7959,0.2535,combined,2.2456,5.9600,0.1498,-0.1493,0.0116
0.0601,2.5544,0.2093,lateral,1.4478,6.0400,0.0094,0.0596,0.0071
0.0915,2.9632,0.0525,combined,1.3655,5.6200,0.0887,-0.0830,0.0384
0.0148,2.6148,0.1247,lateral,0.1176,4.2800,0.0148,-0.0130,0.0070
0.0570,3.5647,0.0941,turn,0.0000,5.2400,0.0000,nan,nan
0.0262,3.9320,0.2505,lateral,1.3109,4.9200,0.0262,-0.0243,0.0097
0.1904,1.0660,0.0564,combined,1.7762,5.0000,0.1833,-0.1693,0.0872
0.0562,1.5391,0.1930,turn,0.0000,4.0200,0.0000,nan,nan
0.1176,2.4250,0.0826,lateral,0.3228,4.8000,0.0022,0.1160,0.0194
0.1107,4.7962,0.0401,straight,1.6118,4.8400,0.1028,-0.0921,0.0614
0.0913,3.5317,0.1334,turn,0.0000,4.5800,0.0000,nan,nan
0.0546,4.5073,0.0860,straight,1.0656,6.2200,0.0066,0.0524,0.0153
0.0101,2.3714,0.0429,combined,1.4940,5.1600,0.0101,-0.0100,0.0019
0.0515,0.9582,0.1498,lateral,1.1089,4.4400,0.0379,-0.0482,0.0181
0.0794,1.8435,0.0977,straight,0.5203,4.8200,0.0703,-0.0415,0.0678
0.1517,3.4522,0.2276,lateral,0.0558,4.3600,0.0558,-0.1201,0.0927
0.0527,0.9675,0.1602,turn,0.0000,5.8800,0.0000,nan,nan
0.1529,2.3408,0.1848,lateral,0.4003,5.2600,0.1125,-0.1427,0.0549
0.0776,2.6464,0.0568,combined,1.3048,4.1600,0.0117,0.0758,0.0163
0.0225,0.8720,0.1926,lateral,0.3089,5.8000,0.0081,-0.0141,0.0175
0.0226,1.5800,0.2403,lateral,1.1184,5.9200,0.0183,-0.0215,0.0070
0.0854,0.4958,0.1211,combined,0.3537,4.5200,0.0693,-0.0726,0.0449
0.0591,1.2180,0.2270,straight,1.1310,5.2600,0.0202,0.0513,0.0294
0.1057,2.9584,0.1530,straight,1.3066,5.3600,0.0905,-0.0777,0.0716
0.0412,2.6670,0.2328,combined,1.5790,6.2200,0.0334,-0.0188,0.0366
0.0708,4.9153,0.2687,lateral,0.7739,5.4200,0.0708,-0.0698,0.0116
0.0720,1.8297,0.0165,straight,0.2677,4.5400,0.0299,0.0483,0.0534
0.2263,12.1089,0.0357,stand,0.0000,6.4000,0.0000,nan,nan
0.0903,4.9023,0.2680,straight,1.2761,5.8200,0.0318,-0.0243,0.0869
